"Region","District","PMA","Metro","TDA Market","Segments","Gender","Make","Model","Series","Est Household Income","Enhanced Ethnic Groups","Specific Ethnic Groups","Luxury and Non Luxury","Country","Count"
"BOSTON","BOSTON - 0","UNAS MA - ","UNASSIGNED-13","UNASSIGNED","NEAR LUXURY COUPE","FEMALE","AUDI","A5","PRM","NOT APPLICABLE","OTHER","JEWISH","LUXURY","USA","1"
"BOSTON","BOSTON - 1","ACTON TOYOTA LITTLETON - 20114","BOSTON SM","NEW ENGLAND TDA","ENTRY LUXURY","FEMALE","AUDI","A3","PRE","NOT APPLICABLE","WESTERN EUROPEAN","ITALIAN","LUXURY","USA","1"
"BOSTON","BOSTON - 1","ACTON TOYOTA LITTLETON - 20114","BOSTON SM","NEW ENGLAND TDA","ENTRY LUXURY","MALE","ACURA","ILX","PRM","NOT APPLICABLE","ASIAN","CHINESE","LUXURY","USA","1"
"BOSTON","BOSTON - 1","ACTON TOYOTA LITTLETON - 20114","BOSTON SM","NEW ENGLAND TDA","ENTRY LUXURY","MALE","AUDI","A3","PRE","NOT APPLICABLE","UNCODED","UNCODED","LUXURY","USA","1"
"BOSTON","BOSTON - 1","ACTON TOYOTA LITTLETON - 20114","BOSTON SM","NEW ENGLAND TDA","ENTRY LUXURY","MALE","AUDI","A3","PRE","NOT APPLICABLE","WESTERN EUROPEAN","ITALIAN","LUXURY","USA","1"
"BOSTON","BOSTON - 1","ACTON TOYOTA LITTLETON - 20114","BOSTON SM","NEW ENGLAND TDA","PRESTIGE LUXURY","MALE","AUDI","A8","L","NOT APPLICABLE","WESTERN EUROPEAN","IRISH","LUXURY","USA","1"
"BOSTON","BOSTON - 1","ACTON TOYOTA LITTLETON - 20114","BOSTON SM","NEW ENGLAND TDA","NEAR LUXURY COUPE","MALE","AUDI","A5","PPS","NOT APPLICABLE","HISPANIC","COLOMBIA","LUXURY","USA","1"
"BOSTON","BOSTON - 1","ACTON TOYOTA LITTLETON - 20114","BOSTON SM","NEW ENGLAND TDA","NEAR LUXURY COUPE","MALE","AUDI","A5","PRM","NOT APPLICABLE","EURASIAN","ARMENIAN","LUXURY","USA","1"
"BOSTON","BOSTON - 1","ACTON TOYOTA LITTLETON - 20114","BOSTON SM","NEW ENGLAND TDA","NEAR LUXURY COUPE","MALE","AUDI","A5","PRM","NOT APPLICABLE","WESTERN EUROPEAN","IRISH","LUXURY","USA","1"
"BOSTON","BOSTON - 1","ACTON TOYOTA LITTLETON - 20114","BOSTON SM","NEW ENGLAND TDA","NEAR LUXURY","FEMALE","ACURA","TLX","TEC","NOT APPLICABLE","WESTERN EUROPEAN","IRISH","LUXURY","USA","1"
